ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1tK7qUOt3MS-gxkiAQ6KTRCtD9bUadB_S,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-15 at 12.08.12 PM.png,429683,image/png,1696,43.5,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-15 at 12.08.12 PM.png,move,,.png
1BeXYp4k2zxixHyB6TDuy6SVAGw82_bLa,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-12 at 10.58.28 AM.png,488225,image/png,1699,43.4,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-12 at 10.58.28 AM.png,move,,.png
1wlpXzJRodVzEMELNHUo8jW7KaKqr05WE,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-09 at 12.17.53 PM.png,289353,image/png,1702,43.3,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-09 at 12.17.53 PM.png,move,,.png
1NXcoHlMFYSANkNu1fuC1wB8cGnLCxyMl,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-07 at 6.33.49 PM.png,1525431,image/png,1703,43.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-07 at 6.33.49 PM.png,move,,.png
1xOMgWPD3sXNYmmH_iI5JGayfha0GL0TV,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-07 at 6.33.40 PM.png,3423875,image/png,1703,43.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-07 at 6.33.40 PM.png,move,,.png
156jaXsZa2P9_CVfOVje6svK3w7QHaYgG,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-07 at 6.33.34 PM.png,1551434,image/png,1703,43.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-07 at 6.33.34 PM.png,move,,.png
123ARecyzvomX7yUopwJQ-_7EeObtnr3X,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-07 at 2.38.07 PM.png,393326,image/png,1703,43.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-07 at 2.38.07 PM.png,move,,.png
1oNna1tOV8iDc347y5CIJ2M5KVh0Jn2YV,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-06 at 11.33.14 AM.png,143595,image/png,1705,43.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-06 at 11.33.14 AM.png,move,,.png
1izZ7QL0Gu77l9cY1Pr-eoT0zI5DZk8HY,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-29 at 4.40.22 PM.png,191857,image/png,1711,43.0,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-29 at 4.40.22 PM.png,move,,.png
14ZARgxsroK_aZtvqCs3E1nufzXwPQKOH,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-23 at 7.39.36 PM.png,135620,image/png,1717,42.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-23 at 7.39.36 PM.png,move,,.png
1Iof1J3nIzp6O-_OgJKo2C2Key5sRomF_,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-23 at 7.23.04 PM.png,190259,image/png,1717,42.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-23 at 7.23.04 PM.png,move,,.png
